,Class,Curator,Update
Sample001,Chr,HILab,2022-04-17
Sample002,NoChr,HILab,2022-04-17
Sample003,NoChr,HILab,2022-04-17
Sample004,NoChr,HILab,2022-04-17
Sample005,NoChr,HILab,2022-04-17
Sample006,NoChr,HILab,2022-04-17
Sample007,NoChr,HILab,2022-04-17
Sample008,NoChr,HILab,2022-04-17
Sample009,NoChr,HILab,2022-04-17
Sample010,NoChr,HILab,2022-04-17
Sample011,NoChr,HILab,2022-04-17
Sample012,NoChr,HILab,2022-04-17
Sample013,Chr,HILab,2022-04-17
Sample014,NoChr,HILab,2022-04-17
Sample015,NoChr,HILab,2022-04-17
Sample016,Chr,HILab,2022-04-17
Sample017,Chr,HILab,2022-04-17
Sample018,Chr,HILab,2022-04-17
Sample019,NoChr,HILab,2022-04-17
Sample020,Chr,HILab,2022-04-17
Sample021,Chr,HILab,2022-04-17
Sample022,NoChr,HILab,2022-04-17
Sample023,NoChr,HILab,2022-04-17
Sample024,Chr,HILab,2022-04-17
Sample025,NoChr,HILab,2022-04-17
Sample026,NoChr,HILab,2022-04-17
Sample027,Chr,HILab,2022-04-17
Sample028,NoChr,HILab,2022-04-17
Sample029,Chr,HILab,2022-04-17
Sample030,NoChr,HILab,2022-04-17
Sample031,Chr,HILab,2022-04-17
Sample032,NoChr,HILab,2022-04-17
Sample033,Chr,HILab,2022-04-17
Sample034,Chr,HILab,2022-04-17
Sample035,Chr,HILab,2022-04-17
Sample036,NoChr,HILab,2022-04-17
Sample037,Chr,HILab,2022-04-17
Sample038,NoChr,HILab,2022-04-17
Sample039,NoChr,HILab,2022-04-17
Sample040,NoChr,HILab,2022-04-17
Sample041,Chr,HILab,2022-04-17
Sample042,NoChr,HILab,2022-04-17
Sample043,NoChr,HILab,2022-04-17
Sample044,NoChr,HILab,2022-04-17
Sample045,NoChr,HILab,2022-04-17
Sample046,Chr,HILab,2022-04-17
Sample047,NoChr,HILab,2022-04-17
Sample048,NoChr,HILab,2022-04-17
Sample049,NoChr,HILab,2022-04-17
Sample050,NoChr,HILab,2022-04-17
Sample051,NoChr,HILab,2022-04-17
Sample052,Chr,HILab,2022-04-17
Sample053,NoChr,HILab,2022-04-17
Sample054,NoChr,HILab,2022-04-17
Sample055,NoChr,HILab,2022-04-17
Sample056,Chr,HILab,2022-04-17
Sample057,NoChr,HILab,2022-04-17
Sample058,Chr,HILab,2022-04-17
Sample059,NoChr,HILab,2022-04-17
Sample060,NoChr,HILab,2022-04-17
Sample061,NoChr,HILab,2022-04-17
Sample062,NoChr,HILab,2022-04-17
Sample063,Chr,HILab,2022-04-17
Sample064,NoChr,HILab,2022-04-17
Sample065,NoChr,HILab,2022-04-17
Sample066,NoChr,HILab,2022-04-17
Sample067,Chr,HILab,2022-04-17
Sample068,Chr,HILab,2022-04-17
Sample069,Chr,HILab,2022-04-17
Sample070,NoChr,HILab,2022-04-17
Sample071,Chr,HILab,2022-04-17
Sample072,NoChr,HILab,2022-04-17
Sample073,Chr,HILab,2022-04-17
Sample074,NoChr,HILab,2022-04-17
Sample075,NoChr,HILab,2022-04-17
Sample076,NoChr,HILab,2022-04-17
Sample077,NoChr,HILab,2022-04-17
Sample078,NoChr,HILab,2022-04-17
Sample079,NoChr,HILab,2022-04-17
Sample080,NoChr,HILab,2022-04-17
Sample081,NoChr,HILab,2022-04-17
Sample082,NoChr,HILab,2022-04-17
Sample083,NoChr,HILab,2022-04-17
Sample084,NoChr,HILab,2022-04-17
Sample085,NoChr,HILab,2022-04-17
Sample086,NoChr,HILab,2022-04-17
Sample087,NoChr,HILab,2022-04-17
Sample088,NoChr,HILab,2022-04-17
Sample089,NoChr,HILab,2022-04-17
Sample090,NoChr,HILab,2022-04-17
Sample091,NoChr,HILab,2022-04-17
Sample092,NoChr,HILab,2022-04-17
Sample093,NoChr,HILab,2022-04-17
